"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","128","184","1,809","14.1","64","49","8","4","24","1","0","17","240.6","14.2","99.4%"
"2","Davante Adams (LV)","100","180","1,516","15.2","60","47","14","3","-1","0","0","17","235.5","13.9","100.0%"
"3","Tyreek Hill (MIA)","119","170","1,710","14.4","64","45","7","7","32","1","0","17","222.2","13.1","100.0%"
"4","A.J. Brown (PHI)","88","145","1,496","17.0","78","45","11","0","0","0","2","17","211.6","12.4","100.0%"
"5","Stefon Diggs (BUF)","110","156","1,455","13.2","53","35","11","1","-3","0","0","17","211.2","12.4","100.0%"
"6","CeeDee Lamb (DAL)","107","156","1,359","12.7","39","30","9","10","47","0","0","17","194.6","11.4","100.0%"
"7","Jaylen Waddle (MIA)","75","117","1,356","18.1","84","41","8","3","26","0","1","17","184.2","10.8","99.4%"
"8","Amari Cooper (CLE)","78","132","1,160","14.9","55","31","9","0","0","0","0","17","169.0","9.9","96.3%"
"9","Amon-Ra St. Brown (DET)","106","146","1,161","11.0","49","15","6","9","95","0","0","16","161.6","10.1","100.0%"
"10","DeVonta Smith (PHI)","95","136","1,196","12.6","45","30","7","0","0","0","1","17","159.6","9.4","98.4%"
"11","Christian Kirk (JAC)","84","133","1,108","13.2","49","27","8","5","11","0","1","17","157.9","9.3","92.0%"
"12","Ja'Marr Chase (CIN)","87","134","1,046","12.0","60","22","9","5","8","0","2","13","155.4","12.0","100.0%"
"13","Tyler Lockett (SEA)","84","117","1,033","12.3","40","23","9","0","0","0","2","16","153.3","9.6","92.8%"
"14","Terry McLaurin (WAS)","77","120","1,191","15.5","52","34","5","7","29","0","0","17","152.0","8.9","94.1%"
"15","Brandon Aiyuk (SF)","78","114","1,015","13.0","54","23","8","2","23","0","1","17","149.8","8.8","97.3%"
"16","Mike Evans (TB)","77","127","1,124","14.6","63","34","6","0","0","0","0","15","148.4","9.9","97.0%"
"17","Tee Higgins (CIN)","75","110","1,042","13.9","59","24","7","0","0","0","0","15","148.2","9.9","94.1%"
"18","Jerry Jeudy (DEN)","67","100","972","14.5","67","31","6","4","40","0","0","15","137.2","9.1","72.5%"
"19","DK Metcalf (SEA)","90","141","1,048","11.6","54","20","6","0","0","0","2","17","136.8","8.0","98.0%"
"20","DJ Moore (CHI)","63","118","888","14.1","62","27","7","10","53","0","0","17","136.1","8.0","96.6%"
"21","Garrett Wilson (NYJ)","83","147","1,103","13.3","60","27","4","4","4","0","1","17","132.7","7.8","98.1%"
"22","Cooper Kupp (LAR)","75","98","812","10.8","75","18","6","9","52","1","1","9","126.4","14.0","99.9%"
"23","Chris Olave (NO)","72","119","1,042","14.5","53","25","4","0","0","0","2","15","126.2","8.4","98.4%"
"24","Gabe Davis (BUF)","48","93","836","17.4","98","20","7","0","0","0","1","15","123.6","8.2","85.1%"
"25","Christian Watson (GB)","41","65","611","14.9","63","17","7","7","80","2","0","14","123.1","8.8","71.1%"
"26","Chris Godwin (TB)","104","142","1,023","9.8","44","13","3","3","5","0","2","15","118.8","7.9","92.7%"
"27","Michael Pittman Jr. (IND)","99","141","925","9.3","28","8","4","3","30","0","1","16","117.5","7.3","94.8%"
"28","Tyler Boyd (CIN)","59","83","776","13.2","60","18","6","0","0","0","0","17","116.5","6.9","66.3%"
"29","Zay Jones (JAC)","82","121","823","10.0","59","10","5","4","18","0","0","16","116.1","7.3","18.0%"
"30","Allen Lazard (NYJ)","60","100","788","13.1","47","20","6","2","0","0","0","15","114.8","7.7","14.0%"
"31","George Pickens (PIT)","52","84","801","15.4","42","25","4","3","24","1","0","17","114.5","6.7","87.4%"
"32","Mike Williams (LAC)","63","93","895","14.2","55","20","4","0","0","0","0","13","113.5","8.7","20.4%"
"33","Jakobi Meyers (LV)","67","96","804","12.0","48","18","6","2","-11","0","2","14","113.3","8.1","85.0%"
"34","Deebo Samuel (SF)","56","94","632","11.3","57","11","2","42","232","3","2","13","112.4","8.6","97.8%"
"35","Curtis Samuel (WAS)","64","92","656","10.3","49","13","4","38","187","1","1","17","112.3","6.6","34.3%"
"36","Adam Thielen (CAR)","70","107","716","10.2","36","8","6","1","4","0","0","17","110.0","6.5","95.1%"
"37","JuJu Smith-Schuster (NE)","78","101","933","12.0","53","18","3","0","0","0","2","16","107.3","6.7","23.4%"
"38","Drake London (ATL)","72","117","866","12.0","40","15","4","0","0","0","3","17","106.6","6.3","85.7%"
"39","Donovan Peoples-Jones (DET)","61","96","839","13.8","42","21","3","1","2","0","1","17","106.1","6.2","3.1%"
"40","Keenan Allen (LAC)","66","89","752","11.4","46","14","4","1","8","0","1","10","98.0","9.8","99.4%"
"41","Joshua Palmer (LAC)","72","107","769","10.7","50","12","3","1","4","0","0","16","97.3","6.1","29.2%"
"42","Mack Hollins (ATL)","57","94","690","12.1","60","15","4","4","40","0","0","17","97.2","5.7","0.5%"
"43","K.J. Osborn (MIN)","60","90","650","10.8","66","13","5","3","6","0","0","17","95.6","5.6","34.7%"
"44","Jahan Dotson (WAS)","35","61","523","14.9","61","17","7","2","-7","0","0","12","95.6","8.0","68.4%"
"45","Courtland Sutton (DEN)","64","109","829","13.0","51","18","2","1","5","0","0","15","95.4","6.4","81.8%"
"46","Diontae Johnson (PIT)","86","147","882","10.3","37","10","0","7","25","0","0","17","94.7","5.6","87.4%"
"47","Marquise Brown (ARI)","67","107","709","10.6","47","11","3","1","1","0","0","12","89.0","7.4","90.9%"
"48","Brandin Cooks (DAL)","57","93","699","12.3","44","22","3","2","7","0","0","13","88.6","6.8","53.8%"
"49","DeAndre Hopkins (TEN)","64","96","717","11.2","33","10","3","0","0","0","1","9","87.7","9.7","96.0%"
"50","Parris Campbell (NYG)","63","91","623","9.9","49","13","3","5","58","0","0","17","86.1","5.1","2.8%"
"51","Darius Slayton (NYG)","46","71","724","15.7","55","24","2","0","0","0","1","13","82.4","6.3","2.2%"
"52","Marquez Valdes-Scantling (KC)","42","81","687","16.4","57","22","2","1","-3","0","0","17","80.4","4.7","4.3%"
"53","Devin Duvernay (BAL)","37","49","407","11.0","31","7","3","12","84","1","0","14","79.1","5.7","0.6%"
"54","Isaiah McKenzie (IND)","42","66","423","10.1","30","5","4","9","55","1","0","16","77.8","4.9","0.4%"
"55","Richie James Jr. (KC)","57","70","569","10.0","33","4","4","2","6","0","3","16","75.5","4.7","0.1%"
"56","Russell Gage (TB)","51","70","426","8.4","23","3","5","0","0","0","1","13","72.6","5.6","0.1%"
"57","Rashid Shaheed (NO)","28","34","488","17.4","68","19","2","4","57","1","0","12","72.5","6.0","36.4%"
"58","DeVante Parker (NE)","31","47","539","17.4","43","18","3","0","0","0","0","13","71.9","5.5","1.6%"
"59","Noah Brown (HOU)","43","74","555","12.9","51","12","3","0","0","0","1","16","71.5","4.5","47.6%"
"60","Alec Pierce (IND)","41","78","593","14.5","47","16","2","0","0","0","0","16","71.3","4.5","1.8%"
"61","Marvin Jones Jr. (FA)","46","81","529","11.5","37","8","3","0","0","0","0","16","70.9","4.4","0.7%"
"62","Olamide Zaccheaus (PHI)","40","61","533","13.3","45","14","3","2","7","0","1","17","70.0","4.1","0.1%"
"63","Kalif Raymond (DET)","47","64","616","13.1","56","17","0","7","36","0","1","17","69.2","4.1","1.2%"
"64","Mecole Hardman Jr. (KC)","25","34","297","11.9","36","8","4","4","31","2","0","8","68.8","8.6","3.4%"
