"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"214","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"215","Stanley Morgan Jr. (CIN)","0","1","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"216","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Alex Bachman (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Trinity Benson (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"219","Malik Turner (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"220","Dan Chisena (MIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"221","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.4%"
"222","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"223","Binjimen Victor (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"224","Josh Ali (ATL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"225","Lance McCutcheon (NYJ)","0","5","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"226","Raleigh Webb (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"227","Chris Pierce Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"228","Britain Covey (PHI)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.1%"
"229","Emeka Emezie (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"230","Stanley Berryhill III (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Tay Martin (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"232","Jacob Harris (JAC)","1","1","6","6.0","6","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"233","Josh Gordon (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"234","Albert Wilson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"235","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"236","Andre Roberts (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"237","Tanner Gentry (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"238","Marcus Kemp (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"239","Justin Hardee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"240","Marken Michel (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
