"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"29","Dameon Pierce (HOU)","220","939","4.3","75","13","4","30","39","165","5.5","1","2","13","136.4","10.5","73.9%"
"30","Cordarrelle Patterson (ATL)","144","695","4.8","40","6","8","21","31","122","5.8","0","1","13","133.7","10.3","1.9%"
"31","Cam Akers (MIN)","188","786","4.2","42","6","7","13","18","117","9.0","0","2","15","128.3","8.6","27.4%"
"32","Latavius Murray (BUF)","171","760","4.4","52","9","6","27","35","132","4.9","0","0","14","127.2","9.1","16.9%"
"33","D'Onta Foreman (CHI)","203","914","4.5","60","12","5","5","9","26","5.2","0","0","16","126.0","7.9","57.2%"
"34","Isiah Pacheco (KC)","170","830","4.9","31","4","5","13","14","130","10.0","0","2","17","122.0","7.2","95.8%"
"35","Antonio Gibson (WAS)","149","546","3.7","20","1","3","46","58","353","7.7","2","0","15","119.9","8.0","50.9%"
"36","Jonathan Taylor (IND)","192","861","4.5","66","8","4","28","40","143","5.1","0","3","12","118.4","9.9","98.5%"
"37","Khalil Herbert (CHI)","129","731","5.7","63","11","4","9","12","57","6.3","1","0","13","108.8","8.4","68.0%"
"38","Samaje Perine (DEN)","95","394","4.1","29","1","2","38","51","287","7.6","4","0","16","104.1","6.5","22.7%"
"39","Brian Robinson Jr. (WAS)","205","797","3.9","24","2","2","9","12","60","6.7","1","0","12","103.7","8.6","89.5%"
"40","Breece Hall (NYJ)","80","463","5.8","62","7","4","19","31","218","11.5","1","1","7","96.1","13.7","98.1%"
"41","Kareem Hunt (CLE)","123","468","3.8","24","2","3","35","44","210","6.0","1","0","17","91.8","5.4","68.1%"
"42","Rachaad White (TB)","129","481","3.7","35","3","1","50","58","290","5.8","2","3","17","89.1","5.2","94.8%"
"43","Kenyan Drake (CLE)","109","482","4.4","40","9","4","17","26","89","5.2","1","0","12","87.1","7.3","0.1%"
"44","James Cook (BUF)","91","525","5.8","33","7","2","21","32","180","8.6","1","1","17","86.5","5.1","94.9%"
"45","Michael Carter (ARI)","114","402","3.5","25","3","3","41","54","288","7.0","0","1","16","85.0","5.3","1.4%"
"46","Clyde Edwards-Helaire (KC)","71","302","4.3","52","5","3","17","23","151","8.9","3","0","10","81.3","8.1","3.9%"
"47","James Robinson (FA)","110","425","3.9","50","8","3","11","14","51","4.6","2","0","11","77.6","7.1","0.1%"
"48","J.K. Dobbins (BAL)","92","520","5.7","44","7","2","7","8","42","6.0","1","0","8","74.2","9.3","17.3%"
"49","Damien Harris (BUF)","106","462","4.4","30","3","3","17","23","97","5.7","0","0","11","73.9","6.7","8.1%"
"50","Chuba Hubbard (CAR)","95","466","4.9","35","6","2","14","17","171","12.2","0","1","14","73.7","5.3","58.1%"
"51","Alexander Mattison (MIN)","74","283","3.8","15","0","5","15","18","91","6.1","1","0","17","73.4","4.3","90.6%"
"52","Jaylen Warren (PIT)","77","379","4.9","31","4","1","28","33","214","7.6","0","0","16","65.3","4.1","74.6%"
"53","Kenneth Gainwell (PHI)","53","240","4.5","13","0","4","23","29","169","7.3","0","0","17","64.9","3.8","21.0%"
"54","Eno Benjamin (NO)","77","313","4.1","45","3","2","25","34","193","7.7","0","0","13","64.6","5.0","0.0%"
"55","Melvin Gordon III (BAL)","90","318","3.5","17","0","2","25","32","223","8.9","0","2","10","62.1","6.2","0.1%"
"56","Gus Edwards (BAL)","87","433","5.0","37","4","3","0","2","0","0","0","1","9","59.3","6.6","84.3%"
"57","Chase Edmonds (TB)","68","245","3.6","28","3","2","16","24","157","9.8","1","0","13","58.2","4.5","0.9%"
"58","Darrell Henderson Jr. (LAR)","70","283","4.0","23","1","3","17","22","102","6.0","0","0","10","56.5","5.7","50.0%"
"59","Dontrell Hilliard (FA)","22","145","6.6","30","3","0","21","26","177","8.4","4","0","12","56.2","4.7","0.0%"
